step,x,y,z
160000,-0.15,0.9800001,0.5000001
160001,-0.15,-1.26076,0.5000001
160002,-0.15,-1.12342,0.5000001
160003,-0.15,-0.8879802,0.5000001
160004,-0.15,-0.5544405,0.5000001
160005,-0.15,-0.1228008,0.5000001
160006,-0.15,0.4069387,0.5000001
160007,-0.15,0.9800001,0.5000001
160008,-0.15,-1.3,0.5000001
160009,-0.15,-1.24114,0.5000001
160010,-0.15,-1.08418,0.5000001
160011,-0.15,-0.8291203,0.5000001
160012,-0.15,-0.4759606,0.5000001
160013,-0.15,-0.02470092,0.5000001
160014,-0.15,0.5246586,0.5000001
160015,-0.15,0.9800001,0.5000001
160016,-0.15,-1.296076,0.5000001
160017,-0.15,-1.217596,0.5000001
160018,-0.15,-1.041016,0.5000001
160019,-0.15,-0.7663363,0.5000001
160020,-0.15,-0.3935566,0.5000001
160021,-0.15,0.07732299,0.5000001
160022,-0.15,0.6463025,0.5000001
160023,-0.15,0.9800001,0.5000001
160024,-0.15,-1.288228,0.5000001
160025,-0.15,-1.190128,0.5000001
160026,-0.15,-0.9939281,0.5000001
160027,-0.15,-0.6996284,0.5000001
160028,-0.15,-0.3072287,0.5000001
160029,-0.15,0.1832709,0.5000001
160030,-0.15,0.7718704,0.5000001
160031,-0.15,0.9800001,0.5000001
160032,-0.15,-1.276456,0.5000001
160033,-0.15,-1.158736,0.5000001
160034,-0.15,-0.9429162,0.5000001
160035,-0.15,-0.6289964,0.5000001
160036,-0.15,-0.2169768,0.5000001
160037,-0.15,0.2931428,0.5000001
160038,-0.15,0.9013623,0.5000001
160039,-0.15,0.9800001,0.5000001
160040,-0.15,-1.26076,0.5000001
160041,-0.15,-1.12342,0.5000001
160042,-0.15,-0.8879802,0.5000001
160043,-0.15,-0.5544405,0.5000001
160044,-0.15,-0.1228008,0.5000001
160045,-0.15,0.4069387,0.5000001
160046,-0.15,0.9800001,0.5000001
160047,-0.15,-1.3,0.5000001
160048,-0.15,-1.24114,0.5000001
160049,-0.15,-1.08418,0.5000001
160050,-0.15,-0.8291203,0.5000001
160051,-0.15,-0.4759606,0.5000001
160052,-0.15,-0.02470092,0.5000001
160053,-0.15,0.5246586,0.5000001
160054,-0.15,0.9800001,0.5000001
160055,-0.15,-1.296076,0.5000001
160056,-0.15,-1.217596,0.5000001
160057,-0.15,-1.041016,0.5000001
160058,-0.15,-0.7663363,0.5000001
160059,-0.15,-0.3935566,0.5000001
160060,-0.15,0.07732299,0.5000001
160061,-0.15,0.6463025,0.5000001
160062,-0.15,0.9800001,0.5000001
160063,-0.15,-1.288228,0.5000001
160064,-0.15,-1.190128,0.5000001
160065,-0.15,-0.9939281,0.5000001
160066,-0.15,-0.6996284,0.5000001
160067,-0.15,-0.3072287,0.5000001
160068,-0.15,0.1832709,0.5000001
160069,-0.15,0.7718704,0.5000001
160070,-0.15,0.9800001,0.5000001
160071,-0.15,-1.276456,0.5000001
160072,-0.15,-1.158736,0.5000001
160073,-0.15,-0.9429162,0.5000001
160074,-0.15,-0.6289964,0.5000001
160075,-0.15,-0.2169768,0.5000001
160076,-0.15,0.2931428,0.5000001
160077,-0.15,0.9013623,0.5000001
160078,-0.15,0.9800001,0.5000001
160079,-0.15,-1.26076,0.5000001
160080,-0.15,-1.12342,0.5000001
160081,-0.15,-0.8879802,0.5000001
160082,-0.15,-0.5544405,0.5000001
160083,-0.15,-0.1228008,0.5000001
160084,-0.15,0.4069387,0.5000001
160085,-0.15,0.9800001,0.5000001
160086,-0.15,-1.3,0.5000001
160087,-0.15,-1.24114,0.5000001
160088,-0.15,-1.08418,0.5000001
160089,-0.2629777,-0.8030314,0.488651
160090,-0.8404725,-0.3155163,0.431649
160091,-1.1435,-0.02000007,0.4017385
160092,-0.15,-1.288228,0.5000001
160093,-0.15,-1.190128,0.5000001
160094,-0.15,-0.9939281,0.5000001
160095,-0.15,-0.6996284,0.5000001
160096,-0.15,-0.3072287,0.5000001
160097,-0.15,0.1832709,0.5000001
160098,-0.15,0.7718704,0.5000001
160099,-0.15,0.9800001,0.5000001
160100,-0.15,-1.276456,0.5000001
160101,-0.15,-1.158736,0.5000001
160102,-0.15,-0.9429162,0.5000001
160103,-0.15,-0.6289964,0.5000001
160104,-0.15,-0.2169768,0.5000001
160105,-0.15,0.2931428,0.5000001
160106,-0.15,0.9013623,0.5000001
160107,-0.15,0.9800001,0.5000001
160108,-0.15,-1.26076,0.5000001
160109,-0.15,-1.12342,0.5000001
160110,-0.15,-0.8879802,0.5000001
160111,-0.15,-0.5544405,0.5000001
160112,-0.15,-0.1228008,0.5000001
160113,-0.15,0.4069387,0.5000001
160114,-0.15,0.9800001,0.5000001
160115,-0.15,-1.3,0.5000001
160116,-0.15,-1.24114,0.5000001
160117,-0.15,-1.08418,0.5000001
160118,-0.15,-0.8291203,0.5000001
160119,-0.15,-0.4759606,0.5000001
160120,-0.15,-0.02470092,0.5000001
160121,-0.15,0.5246586,0.5000001
160122,-0.15,0.9800001,0.5000001
160123,-0.15,-1.296076,0.5000001
160124,-0.15,-1.217596,0.5000001
160125,-0.15,-1.041016,0.5000001
160126,-0.15,-0.7663363,0.5000001
160127,-0.15,-0.3935566,0.5000001
160128,-0.15,0.07732299,0.5000001
160129,-0.15,0.6463025,0.5000001
160130,-0.15,0.9800001,0.5000001
